Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Current_Age,Kilometers_Per_Year
1134,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,2010,83000,1,1,1,10.93,2497.0,88.8,5.0,16.5,13,6384.615384615385
1136,Volkswagen Vento Petrol Highline,Pune,2012,67200,1,0,1,15.04,1598.0,103.6,5.0,3.9,11,6109.090909090909
1137,BMW 3 Series 320d Luxury Line,Jaipur,2013,62655,0,1,1,18.88,1995.0,88.8,5.0,14.5,10,6265.5
1138,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,0,1,1,14.69,2993.0,88.8,5.0,44.0,8,2112.5
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,1,0,1,18.9,1197.0,81.86,5.0,5.0,6,1411.8333333333333
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,0,1,1,11.36,2755.0,171.5,7.0,19.75,7,9857.142857142857
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,0,1,1,19.6,1461.0,108.45,5.0,11.44,6,5015.0
1142,Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,120000,0,0,1,18.0,1248.0,88.8,5.0,1.75,12,10000.0
1144,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,35939,1,0,1,12.3,1796.0,88.8,5.0,30.42,7,5134.142857142857
1145,Mahindra XUV500 W8 4WD,Coimbatore,2013,116694,0,0,1,15.1,2179.0,88.8,7.0,9.57,10,11669.4
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,0,0,1,15.96,2523.0,62.1,7.0,3.5,7,5778.285714285715
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,0,0,1,24.3,1248.0,88.5,5.0,10.46,5,12891.2
1148,Fiat Avventura MULTIJET Emotion,Pune,2014,52782,0,0,1,20.5,1248.0,91.72,5.0,4.85,9,5864.666666666667
1149,Honda Amaze S Petrol,Kochi,2016,51672,1,0,1,19.5,1199.0,88.76,5.0,5.68,7,7381.714285714285
1150,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2015,56073,1,1,1,13.7,1798.0,157.75,5.0,13.25,8,7009.125
1151,Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,2011,65000,0,1,1,14.74,2993.0,270.9,5.0,16.0,12,5416.666666666667
1152,Maruti Wagon R VXI BSIII,Chennai,2013,79000,1,0,1,18.9,998.0,67.1,5.0,3.0,10,7900.0
1154,Toyota Corolla Altis VL,Mumbai,2010,70200,1,1,1,14.53,1798.0,138.1,5.0,5.0,13,5400.0
1155,Maruti Swift VXi BSIV,Delhi,2016,42000,1,0,1,16.1,1197.0,88.8,5.0,4.75,7,6000.0
1156,Volkswagen Polo 1.2 MPI Highline,Bangalore,2014,62000,1,0,1,16.47,1198.0,88.8,5.0,5.35,9,6888.888888888889
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,1,0,1,18.9,1197.0,81.86,5.0,5.98,6,3333.3333333333335
1158,Maruti SX4 ZDI,Chennai,2011,80000,0,0,3,21.5,1248.0,88.8,5.0,3.5,12,6666.666666666667
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,1,0,1,18.9,1197.0,81.86,5.0,4.77,5,10046.8
1160,Maruti Baleno Delta 1.2,Delhi,2016,50003,1,0,1,21.4,1197.0,83.1,5.0,5.45,7,7143.285714285715
1161,Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,1000,1,1,1,20.3,1199.0,88.8,5.0,6.85,5,200.0
1162,Maruti Swift Dzire AMT ZDI,Jaipur,2016,54897,0,1,1,26.59,1248.0,88.8,5.0,7.3,7,7842.428571428572
1163,Tata Indica GLS BS IV,Pune,2007,108995,1,0,1,15.3,1193.0,65.3,5.0,1.25,16,6812.1875
1164,Maruti SX4 S Cross DDiS 320 Zeta,Chennai,2015,73000,0,0,1,22.7,1598.0,88.8,5.0,8.25,8,9125.0
1165,Maruti Swift VXI BSIII,Ahmedabad,2008,65000,1,0,1,16.1,1298.0,88.2,5.0,2.71,15,4333.333333333333
1166,Hyundai Xcent 1.2 Kappa SX,Kolkata,2016,32000,1,0,1,19.1,1197.0,88.8,5.0,3.6,7,4571.428571428572
1167,Hyundai i20 1.2 Magna,Ahmedabad,2010,65000,1,0,1,18.5,1197.0,88.8,5.0,3.0,13,5000.0
1168,Maruti Celerio VXI AT,Hyderabad,2016,21600,1,1,1,23.1,998.0,67.04,5.0,4.65,7,3085.714285714286
1169,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,2010,39000,0,1,1,14.84,2143.0,88.8,5.0,9.5,13,3000.0
1170,Maruti Swift Dzire VXi,Mumbai,2011,58075,1,0,1,17.5,1298.0,85.8,5.0,2.95,12,4839.583333333333
1171,Volkswagen Vento Petrol Trendline,Mumbai,2011,58000,1,0,1,15.04,1598.0,103.6,5.0,3.0,12,4833.333333333333
1172,Maruti Swift ZDi,Hyderabad,2015,58000,0,0,1,25.2,1248.0,88.8,5.0,5.95,8,7250.0
1173,Toyota Corolla Altis VL,Delhi,2008,89000,1,1,1,14.53,1798.0,138.1,5.0,4.0,15,5933.333333333333
1174,Honda Civic 2006-2010 1.8 V MT,Delhi,2008,72000,1,0,1,13.5,1799.0,88.8,5.0,2.5,15,4800.0
1175,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,2017,1800,1,1,1,16.05,1499.0,110.4,5.0,11.37,6,300.0
1176,Fiat Linea Emotion Pack (Diesel),Pune,2010,172050,0,0,2,19.0,1248.0,88.8,5.0,2.25,13,13234.615384615385
1177,Hyundai i10 Era,Jaipur,2013,46230,1,0,1,19.81,1086.0,68.05,5.0,3.1,10,4623.0
1178,Volvo XC60 D5 Inscription,Kochi,2014,86925,0,1,1,11.2,2400.0,88.8,5.0,17.18,9,9658.333333333334
1179,Hyundai i20 1.2 Asta,Jaipur,2018,5000,1,0,1,18.6,1197.0,81.83,5.0,6.5,5,1000.0
1180,Honda City i DTEC S,Ahmedabad,2014,66000,0,0,1,26.0,1498.0,98.6,5.0,5.7,9,7333.333333333333
1181,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,2013,119000,0,0,1,12.99,2494.0,88.8,8.0,8.0,10,11900.0
1182,Renault KWID RXT,Chennai,2016,45000,1,0,1,25.17,799.0,53.3,5.0,2.6,7,6428.571428571428
1183,Maruti A-Star Vxi,Hyderabad,2009,66149,1,0,1,19.0,998.0,66.1,5.0,2.45,14,4724.928571428572
1184,Mercedes-Benz B Class B180,Kochi,2014,42070,1,1,1,14.8,1595.0,120.7,5.0,11.57,9,4674.444444444444
1185,Maruti Wagon R LXI BS IV,Kolkata,2012,35503,1,0,1,18.9,998.0,67.1,5.0,2.3,11,3227.5454545454545
1186,Maruti Swift VDI BSIV,Jaipur,2016,41460,0,0,1,25.2,1248.0,88.8,5.0,5.9,7,5922.857142857143
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,1,1,1,17.0,1591.0,121.3,5.0,7.2,8,5075.0
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,0,1,1,22.0,1582.0,126.2,5.0,5.9,10,8700.0
1189,Honda City V MT,Chennai,2014,30000,1,0,2,16.8,1497.0,116.3,5.0,6.0,9,3333.3333333333335
1190,Hyundai i10 Magna Optional 1.1L,Kolkata,2010,27089,1,0,1,16.0,1086.0,66.7,5.0,1.95,13,2083.769230769231
1191,Toyota Etios GD SP,Coimbatore,2016,53702,0,0,1,23.59,1364.0,67.04,5.0,6.55,7,7671.714285714285
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,0,1,1,27.03,1969.0,88.8,5.0,25.0,8,6375.0
1193,Ford Figo Diesel EXI,Kolkata,2012,36542,0,0,1,20.0,1399.0,68.05,5.0,2.65,11,3322.0
1194,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,2017,15000,0,1,1,13.0,2987.0,88.8,5.0,69.5,6,2500.0
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,0,1,1,22.69,1995.0,88.8,5.0,14.0,11,5909.090909090909
1196,Maruti Alto 800 VXI,Pune,2014,32000,1,0,2,22.74,796.0,47.3,5.0,2.1,9,3555.5555555555557
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,0,0,1,13.68,2393.0,147.8,7.0,20.4,6,4065.5
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,1,0,1,18.78,999.0,88.8,5.0,5.68,4,250.0
1199,Nissan Terrano XL,Mumbai,2014,28238,1,0,1,13.24,1598.0,102.5,5.0,5.55,9,3137.5555555555557
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,0,0,1,13.5,2477.0,175.56,7.0,12.75,10,5900.0
1201,Honda Civic 2010-2013 1.8 S MT,Mumbai,2012,92000,1,0,2,14.8,1799.0,130.2,5.0,3.35,11,8363.636363636364
1202,Maruti Alto 800 LXI,Kolkata,2013,56840,1,0,1,22.74,796.0,47.3,5.0,1.55,10,5684.0
1203,Volkswagen Vento Diesel Highline,Coimbatore,2013,62746,0,0,2,20.54,1598.0,103.6,5.0,5.9,10,6274.6
1204,Land Rover Freelander 2 HSE,Hyderabad,2012,96000,0,1,1,12.35,2179.0,187.74,5.0,18.98,11,8727.272727272728
1205,Honda CR-V 2.0L 2WD MT,Mumbai,2014,24000,1,0,1,13.7,1997.0,153.86,5.0,11.51,9,2666.6666666666665
1206,Maruti Ertiga VDI,Mumbai,2016,54000,0,0,1,20.77,1248.0,88.76,7.0,7.75,7,7714.285714285715
1207,Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,2016,90000,0,0,1,12.99,2494.0,100.6,7.0,13.9,7,12857.142857142857
1208,Tata Manza Aura Safire,Kolkata,2010,40000,1,0,1,15.0,1368.0,88.8,5.0,1.35,13,3076.923076923077
1209,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,65938,0,1,2,12.07,2967.0,241.4,7.0,38.0,8,8242.25
1210,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2017,16100,1,1,1,17.1,1591.0,121.4,5.0,11.6,6,2683.3333333333335
1211,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,2017,3600,0,1,1,21.5,1498.0,108.5,5.0,12.25,6,600.0
1212,Honda City 1.5 S MT,Jaipur,2011,52000,1,0,1,17.0,1497.0,88.8,5.0,3.8,12,4333.333333333333
1213,Ford Figo Diesel Titanium,Mumbai,2014,54000,0,0,1,20.0,1399.0,68.05,5.0,3.25,9,6000.0
1214,Honda Jazz 1.2 VX i VTEC,Mumbai,2016,15399,1,0,1,18.7,1199.0,88.7,5.0,6.4,7,2199.8571428571427
1215,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2012,75000,1,0,2,16.47,1198.0,73.9,5.0,3.95,11,6818.181818181818
1216,Honda City i-VTEC S,Delhi,2010,76752,1,0,1,17.4,1497.0,117.3,5.0,3.57,13,5904.0
1217,Honda City ZX GXi,Mumbai,2005,56000,1,0,2,17.7,1497.0,88.8,5.0,1.25,18,3111.1111111111113
1219,Honda CR-V 2.4L 4WD AT AVN,Kolkata,2013,46125,1,1,2,12.0,2354.0,187.4,5.0,12.5,10,4612.5
1220,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2014,35000,0,1,2,18.12,1995.0,88.8,5.0,23.0,9,3888.8888888888887
1221,Ambassador Classic Nova Diesel,Chennai,2003,80000,0,0,3,12.8,1489.0,35.5,5.0,1.35,20,4000.0
1222,Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,62729,0,0,1,12.05,2179.0,88.8,8.0,6.32,11,5702.636363636364
1223,Volkswagen Vento Diesel Comfortline,Kolkata,2012,34000,0,0,1,20.54,1598.0,103.6,5.0,3.4,11,3090.909090909091
1224,Maruti Zen VX,Jaipur,1999,70000,1,0,2,17.3,993.0,88.8,5.0,0.77,24,2916.6666666666665
1225,Maruti 800 DX BSII,Jaipur,2009,32000,1,0,1,16.1,796.0,88.8,4.0,0.9,14,2285.714285714286
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,1,1,1,14.28,1798.0,138.03,5.0,18.0,6,3500.0
1227,BMW 3 Series 328i Sport Line,Pune,2013,49000,1,1,1,14.59,1997.0,88.8,5.0,19.0,10,4900.0
1228,Ford Ikon 1.3 Flair,Chennai,2007,40000,1,0,3,13.8,1299.0,88.8,5.0,1.1,16,2500.0
1229,Chevrolet Beat LT,Pune,2012,78000,1,0,2,18.6,1199.0,79.4,5.0,2.0,11,7090.909090909091
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,0,0,1,21.43,1364.0,86.79,5.0,6.5,11,4727.272727272727
1231,Mahindra XUV500 W4,Bangalore,2014,65213,0,0,1,16.0,2179.0,88.8,7.0,9.45,9,7245.888888888889
1232,Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,170000,0,0,1,24.4,1120.0,88.8,5.0,4.0,7,24285.714285714286
1233,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,2017,36884,0,1,1,13.0,2143.0,88.8,5.0,32.25,6,6147.333333333333
1234,Hyundai i10 Sportz,Pune,2009,62500,1,0,1,20.36,1197.0,78.9,5.0,2.1,14,4464.285714285715
1235,Toyota Corolla Altis VL AT,Mumbai,2015,68000,1,1,2,14.28,1798.0,138.03,5.0,9.75,8,8500.0
1236,Toyota Corolla 1.8 J,Kolkata,2014,40748,1,0,1,14.53,1798.0,88.8,5.0,6.3,9,4527.555555555556
1237,Audi Q3 2.0 TDI Quattro,Hyderabad,2013,60000,0,1,1,17.32,1968.0,88.8,5.0,21.0,10,6000.0
1238,Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,12400,0,0,1,21.9,1396.0,88.8,5.0,4.65,9,1377.7777777777778
1239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,2013,87000,0,1,2,19.27,2143.0,167.62,5.0,17.0,10,8700.0
1240,Maruti Ritz VDi,Pune,2013,20248,0,0,1,21.1,1248.0,73.9,5.0,4.35,10,2024.8
1241,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,52383,0,0,1,19.67,1582.0,126.2,5.0,14.82,6,8730.5
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,0,1,1,13.6,1999.0,88.8,5.0,40.0,5,200.0
1243,Mahindra Xylo D4,Chennai,2016,85000,0,0,1,14.95,2489.0,93.7,7.0,6.15,7,12142.857142857143
1244,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2014,47000,0,0,1,12.99,2494.0,100.6,7.0,11.25,9,5222.222222222223
1245,Toyota Camry 2.5 Hybrid,Pune,2018,17585,1,1,1,19.16,2494.0,157.7,5.0,32.0,5,3517.0
1246,Audi Q5 3.0 TDI Quattro,Coimbatore,2018,32496,0,1,1,13.22,2967.0,241.4,5.0,45.62,5,6499.2
1247,Maruti Swift VDI,Kochi,2017,34613,0,0,1,28.4,1248.0,88.8,5.0,6.24,6,5768.833333333333
1248,Maruti Ertiga VDI Limited Edition,Chennai,2015,153000,0,0,1,20.77,1248.0,88.76,7.0,4.8,8,19125.0
1249,Maruti Swift VXi BSIV,Chennai,2014,54000,1,0,2,16.1,1197.0,88.8,5.0,4.5,9,6000.0
1250,Hyundai i10 Sportz,Kochi,2015,16900,1,0,1,20.36,1197.0,78.9,5.0,3.87,8,2112.5
1251,Hyundai i10 Sportz,Delhi,2013,62334,1,0,1,20.36,1197.0,78.9,5.0,2.75,10,6233.4
1252,Maruti Baleno Sigma 1.2,Kochi,2018,23714,1,0,1,21.4,1197.0,83.1,5.0,6.57,5,4742.8
1253,Hyundai Accent Executive,Jaipur,2010,52325,1,0,1,16.36,1495.0,93.7,5.0,2.0,13,4025.0
1254,Honda Brio S MT,Ahmedabad,2012,50000,1,0,1,19.4,1198.0,86.8,5.0,3.65,11,4545.454545454545
1255,Maruti Swift ZDi,Hyderabad,2016,55746,0,0,1,22.9,1248.0,88.8,5.0,6.95,7,7963.714285714285
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,1,0,1,20.14,1197.0,81.86,5.0,5.5,9,6000.0
1257,Mahindra XUV500 W8 2WD,Kolkata,2013,43000,0,0,1,16.0,2179.0,88.8,7.0,7.0,10,4300.0
1258,Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,2014,40000,0,1,1,13.0,2143.0,201.1,5.0,24.0,9,4444.444444444444
1259,Land Rover Freelander 2 TD4 S,Bangalore,2010,125000,0,1,2,0.0,2179.0,88.8,5.0,11.0,13,9615.384615384615
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,2016,51944,0,1,1,19.27,2143.0,88.8,5.0,32.5,7,7420.571428571428
1261,Hyundai i20 Asta 1.4 CRDi,Kochi,2015,46950,0,0,1,21.27,1396.0,88.76,5.0,6.45,8,5868.75
1262,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2015,23000,0,1,1,19.3,1968.0,88.8,5.0,15.75,8,2875.0
1263,Honda City 1.5 S MT,Mumbai,2014,54546,1,0,1,17.0,1497.0,88.8,5.0,5.5,9,6060.666666666667
1264,Toyota Fortuner 4x2 AT,Kochi,2015,51535,0,1,1,12.55,2982.0,168.5,7.0,19.03,8,6441.875
1265,Audi Q3 2.0 TDI Quattro,Kolkata,2013,45000,0,1,1,17.32,1968.0,88.8,5.0,15.25,10,4500.0
1266,Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,46004,1,0,1,20.92,998.0,67.1,5.0,2.4,11,4182.181818181818
1267,Tata Indigo eCS LX BSIV,Chennai,2011,124000,0,0,1,23.03,1396.0,88.8,5.0,2.3,12,10333.333333333334
1268,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2014,77395,0,1,1,17.11,1968.0,174.33,5.0,14.35,9,8599.444444444445
1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,1,1,1,18.0,1497.0,117.3,5.0,11.97,5,4594.8
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,0,0,1,14.24,2755.0,174.5,7.0,18.9,8,8126.5
1273,Hyundai Grand i10 Sportz,Ahmedabad,2017,17125,1,0,1,18.9,1197.0,88.8,5.0,5.4,6,2854.1666666666665
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,1,0,1,15.1,1196.0,88.8,7.0,2.95,8,11301.625
1275,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,37000,1,0,1,16.47,1198.0,73.9,5.0,5.1,10,3700.0
1276,Maruti Wagon R LXI Minor,Jaipur,2006,65000,1,0,1,18.9,1061.0,88.8,5.0,1.5,17,3823.529411764706
1277,Honda City 1.5 V MT,Bangalore,2011,66000,1,0,1,17.0,1497.0,88.8,5.0,4.9,12,5500.0
1278,Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,86000,1,0,1,14.8,1799.0,130.2,5.0,2.9,13,6615.384615384615
1279,Honda City 1.5 EXI,Pune,2005,98437,1,0,1,13.0,1493.0,88.8,5.0,1.15,18,5468.722222222223
1280,Hyundai i20 1.2 Magna,Kolkata,2010,18000,1,0,1,18.5,1197.0,88.8,5.0,2.3,13,1384.6153846153845
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,0,0,1,24.0,1120.0,88.8,5.0,5.99,5,7014.0
1282,Volkswagen Vento Petrol Highline AT,Pune,2011,42000,1,1,3,14.4,1598.0,103.6,5.0,3.4,12,3500.0
1283,Hyundai i10 Sportz 1.2,Kolkata,2009,40000,1,0,1,20.36,1197.0,78.9,5.0,1.7,14,2857.1428571428573
1284,Hyundai i20 Asta,Kolkata,2009,43000,1,0,1,17.0,1197.0,88.8,5.0,1.99,14,3071.4285714285716
1285,Chevrolet Beat LS,Pune,2012,65000,1,0,1,18.6,1199.0,79.4,5.0,2.5,11,5909.090909090909
1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,0,0,1,22.07,1199.0,73.9,5.0,4.85,10,7400.0
1287,Ford Figo Petrol LXI,Hyderabad,2010,51192,1,0,1,15.6,1196.0,88.8,5.0,2.65,13,3937.846153846154
1288,Audi TT 2.0 TFSI,Kochi,2014,14262,1,1,1,9.9,1984.0,207.8,2.0,27.35,9,1584.6666666666667
1289,Honda City i DTEC VX,Jaipur,2015,66339,0,0,2,25.1,1498.0,98.6,5.0,6.9,8,8292.375
1290,Ford Figo Diesel Titanium,Hyderabad,2013,90200,0,0,1,20.0,1399.0,68.05,5.0,3.5,10,9020.0
1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,57854,0,0,1,12.99,2494.0,100.6,7.0,12.5,8,7231.75
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,1,1,1,19.12,1373.0,91.1,5.0,9.2,6,5333.333333333333
1293,Hyundai Grand i10 AT Asta,Mumbai,2015,29631,1,1,1,18.9,1197.0,88.8,5.0,4.9,8,3703.875
1294,Honda City 1.3 DX,Delhi,2009,55005,1,0,1,12.8,1497.0,88.8,5.0,3.2,14,3928.9285714285716
1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,54173,1,0,1,18.88,999.0,123.24,5.0,5.55,9,6019.222222222223
1296,Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,50000,1,1,1,14.7,1798.0,177.6,5.0,13.5,9,5555.555555555556
1297,Fiat Linea Emotion (Diesel),Kolkata,2010,145000,0,0,1,20.4,1248.0,91.7,5.0,2.6,13,11153.846153846154
1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,1,0,1,16.1,1298.0,88.2,5.0,4.5,8,9750.0
1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,0,1,2,11.8,2993.0,88.8,7.0,34.0,10,6500.0
1300,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,0,0,1,12.8,2494.0,88.8,7.0,12.0,11,10909.09090909091
1301,Maruti Swift LDI,Mumbai,2015,14000,0,0,1,28.4,1248.0,88.8,5.0,5.25,8,1750.0
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,0,1,1,17.68,1968.0,174.33,5.0,21.56,9,6384.0
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,0,1,1,22.48,1995.0,88.8,5.0,24.68,11,4040.909090909091
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,1,0,1,18.5,1197.0,82.9,5.0,3.67,10,6377.7
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,0,1,1,17.05,1995.0,88.8,5.0,29.5,7,4428.571428571428
1306,Toyota Etios G,Delhi,2012,60000,1,0,1,17.6,1496.0,88.73,5.0,3.1,11,5454.545454545455
1307,Tata Indigo LX,Ahmedabad,2015,78008,0,0,1,17.0,1405.0,88.8,5.0,2.9,8,9751.0
1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,0,1,2,0.0,2987.0,88.8,5.0,43.0,9,3666.6666666666665
1309,Volkswagen Beetle 2.0,Mumbai,2009,27078,1,1,1,10.98,1984.0,114.4,4.0,15.95,14,1934.142857142857
1310,Volkswagen Polo GT TDI,Hyderabad,2011,57275,0,0,1,19.7,1598.0,103.6,5.0,4.5,12,4772.916666666667
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,0,0,1,24.0,1120.0,88.8,5.0,3.49,9,5000.0
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,0,0,1,25.2,1248.0,88.8,5.0,4.25,9,6368.777777777777
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,0,0,2,24.0,1396.0,88.76,5.0,1.9,15,8073.133333333333
1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,0,1,1,16.73,1995.0,88.8,5.0,16.57,12,7416.666666666667
1315,Honda City 1.5 S MT,Bangalore,2012,72000,1,0,1,17.0,1497.0,88.8,5.0,5.75,11,6545.454545454545
1316,Audi A4 2.0 TDI,Delhi,2013,36000,0,1,2,16.55,1968.0,147.51,5.0,14.0,10,3600.0
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,0,0,2,19.5,1248.0,88.8,5.0,2.5,10,8600.0
1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,1,0,1,13.0,1343.0,88.8,5.0,1.2,21,4047.6190476190477
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,0,1,1,22.69,1995.0,88.8,5.0,13.95,10,3761.3
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,1,0,1,16.6,1388.0,88.8,5.0,1.6,16,6250.0
1322,Tata Nano XTA,Coimbatore,2016,5240,1,1,1,21.9,624.0,37.48,4.0,3.6,7,748.5714285714286
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,1,0,1,20.89,1197.0,81.8,5.0,6.06,4,4215.5
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,1,0,2,17.5,1298.0,85.8,5.0,5.29,10,5925.4
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,0,0,1,22.7,1498.0,89.84,5.0,5.75,9,6666.666666666667
1327,Maruti Swift 1.3 ZXI,Hyderabad,2015,50295,1,0,1,16.1,1497.0,88.8,5.0,5.8,8,6286.875
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,1,0,1,19.1,1197.0,85.8,5.0,5.72,9,5297.111111111111
1329,Hyundai i10 Sportz AT,Kochi,2014,61517,1,1,1,16.95,1197.0,78.9,5.0,4.39,9,6835.222222222223
1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,0,0,1,15.1,2179.0,88.8,7.0,11.05,7,8992.285714285714
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,0,0,2,22.54,1396.0,88.73,5.0,4.83,8,8352.875
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,0,0,2,21.27,1396.0,88.76,5.0,4.5,11,9727.272727272728
1334,BMW 7 Series 730Ld,Mumbai,2011,55000,0,1,2,16.46,2993.0,88.8,5.0,19.5,12,4583.333333333333
1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,1,1,1,14.3,1598.0,103.52,5.0,8.75,6,4000.0
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,0,1,1,14.75,2967.0,88.8,7.0,67.0,7,2857.4285714285716
1337,Honda City i VTEC VX,Kochi,2016,54317,1,0,1,17.4,1497.0,117.3,5.0,8.4,7,7759.571428571428
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,1,0,1,19.1,1197.0,88.8,5.0,4.99,7,1457.142857142857
1339,Honda City i DTec E,Coimbatore,2016,24337,0,0,1,26.0,1498.0,98.6,5.0,8.18,7,3476.714285714286
1340,Honda Brio S Option MT,Pune,2012,79000,1,0,1,18.4,1198.0,86.8,5.0,2.9,11,7181.818181818182
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,0,0,1,28.09,1248.0,88.5,5.0,7.1,8,5062.5
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,0,0,1,26.59,1248.0,88.8,5.0,7.05,7,3285.714285714286
1343,Honda CR-V 2.4L 4WD AT,Pune,2015,63050,1,1,1,11.1,2354.0,158.8,5.0,17.5,8,7881.25
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,1,1,2,14.53,1794.0,138.1,5.0,3.41,15,5200.0
